Date,Hour,Price (Euro/MWh)
02/02/2019,2,47.50
02/02/2019,3,45.70
02/02/2019,4,43.14
02/02/2019,5,42.71
02/02/2019,6,42.90
02/02/2019,7,50.87
02/02/2019,8,59.99
02/02/2019,9,62.37
02/02/2019,10,65.00
02/02/2019,11,62.33
02/02/2019,12,61.03
02/02/2019,13,56.10
02/02/2019,14,52.80
02/02/2019,15,51.95
02/02/2019,16,52.74
02/02/2019,17,54.00
02/02/2019,18,62.14
02/02/2019,19,65.28
02/02/2019,20,62.65
02/02/2019,21,61.10
02/02/2019,22,55.61
02/02/2019,23,53.20
02/02/2019,24,49.50
03/02/2019,1,49.54
03/02/2019,2,47.00
03/02/2019,3,43.84
03/02/2019,4,41.39
03/02/2019,5,40.98
03/02/2019,6,40.00
03/02/2019,7,49.19
03/02/2019,8,50.25
03/02/2019,9,51.80
03/02/2019,10,55.48
03/02/2019,11,55.75
03/02/2019,12,52.68
03/02/2019,13,51.40
03/02/2019,14,49.17
03/02/2019,15,49.44
03/02/2019,16,50.31
03/02/2019,17,57.83
03/02/2019,18,63.10
03/02/2019,19,68.61
03/02/2019,20,72.65
03/02/2019,21,66.14
03/02/2019,22,63.10
03/02/2019,23,59.19
03/02/2019,24,52.42
04/02/2019,1,52.02
04/02/2019,2,51.09
04/02/2019,3,50.40
04/02/2019,4,51.09
04/02/2019,5,51.81
04/02/2019,6,55.16
04/02/2019,7,66.23
04/02/2019,8,73.15
04/02/2019,9,79.63
04/02/2019,10,77.32
04/02/2019,11,72.33
04/02/2019,12,67.00
04/02/2019,13,61.78
04/02/2019,14,61.04
04/02/2019,15,64.81
04/02/2019,16,64.95
04/02/2019,17,68.15
04/02/2019,18,73.15
04/02/2019,19,77.27
04/02/2019,20,70.66
04/02/2019,21,66.23
04/02/2019,22,62.38
04/02/2019,23,64.39
04/02/2019,24,60.15
05/02/2019,1,58.30
05/02/2019,2,54.44
05/02/2019,3,54.38
05/02/2019,4,54.40
05/02/2019,5,53.11
05/02/2019,6,54.44
05/02/2019,7,61.04
05/02/2019,8,64.09
05/02/2019,9,74.01
05/02/2019,10,68.00
05/02/2019,11,65.79
05/02/2019,12,62.85
05/02/2019,13,59.35
05/02/2019,14,58.20
05/02/2019,15,58.90
05/02/2019,16,60.99
05/02/2019,17,62.36
05/02/2019,18,67.00
05/02/2019,19,68.47
05/02/2019,20,66.83
05/02/2019,21,61.77
05/02/2019,22,59.99
05/02/2019,23,57.99
05/02/2019,24,53.83
06/02/2019,1,47.61
06/02/2019,2,44.63
06/02/2019,3,41.34
06/02/2019,4,41.19
06/02/2019,5,41.38
06/02/2019,6,46.14
06/02/2019,7,56.49
06/02/2019,8,67.00
06/02/2019,9,75.00
06/02/2019,10,65.88
06/02/2019,11,62.14
06/02/2019,12,59.88
06/02/2019,13,55.70
06/02/2019,14,55.40
06/02/2019,15,58.31
06/02/2019,16,59.15
06/02/2019,17,62.15
06/02/2019,18,67.00
06/02/2019,19,70.89
06/02/2019,20,67.00
06/02/2019,21,62.38
06/02/2019,22,61.88
06/02/2019,23,57.00
06/02/2019,24,52.34
07/02/2019,1,57.06
07/02/2019,2,56.05
07/02/2019,3,54.34
07/02/2019,4,54.14
07/02/2019,5,54.66
07/02/2019,6,56.96
07/02/2019,7,66.90
07/02/2019,8,67.00
07/02/2019,9,75.29
07/02/2019,10,68.80
07/02/2019,11,64.89
07/02/2019,12,60.69
07/02/2019,13,56.69
07/02/2019,14,56.66
07/02/2019,15,60.10
07/02/2019,16,62.47
07/02/2019,17,70.39
07/02/2019,18,77.84
07/02/2019,19,80.86
07/02/2019,20,77.32
07/02/2019,21,67.00
07/02/2019,22,62.61
07/02/2019,23,60.22
07/02/2019,24,57.00
08/02/2019,1,57.46
08/02/2019,2,56.37
08/02/2019,3,53.71
08/02/2019,4,53.10
08/02/2019,5,52.99
08/02/2019,6,56.37
08/02/2019,7,63.38
08/02/2019,8,69.98
08/02/2019,9,73.01
08/02/2019,10,65.98
08/02/2019,11,61.04
08/02/2019,12,58.00
08/02/2019,13,55.98
08/02/2019,14,54.98
08/02/2019,15,57.46
08/02/2019,16,59.11
08/02/2019,17,63.04
08/02/2019,18,70.16
08/02/2019,19,77.27
08/02/2019,20,75.00
08/02/2019,21,63.00
08/02/2019,22,60.00
08/02/2019,23,57.00
08/02/2019,24,54.00
09/02/2019,1,62.46
09/02/2019,2,60.85
09/02/2019,3,57.52
09/02/2019,4,55.44
09/02/2019,5,55.37
09/02/2019,6,56.30
09/02/2019,7,63.92
09/02/2019,8,77.32
09/02/2019,9,77.84
09/02/2019,10,73.00
09/02/2019,11,61.90
09/02/2019,12,57.46
09/02/2019,13,53.95
09/02/2019,14,51.72
09/02/2019,15,51.72
09/02/2019,16,53.53
09/02/2019,17,58.59
09/02/2019,18,72.00
09/02/2019,19,77.84
09/02/2019,20,77.84
09/02/2019,21,73.50
09/02/2019,22,61.90
09/02/2019,23,56.43
09/02/2019,24,52.15
10/02/2019,1,53.53
10/02/2019,2,52.98
10/02/2019,3,49.43
10/02/2019,4,46.40
10/02/2019,5,45.29
10/02/2019,6,45.82
10/02/2019,7,49.98
10/02/2019,8,53.50
10/02/2019,9,53.50
10/02/2019,10,52.50
10/02/2019,11,49.99
10/02/2019,12,47.39
10/02/2019,13,48.57
10/02/2019,14,43.21
10/02/2019,15,43.20
10/02/2019,16,40.95
10/02/2019,17,47.00
10/02/2019,18,54.57
10/02/2019,19,65.50
10/02/2019,20,67.00
10/02/2019,21,64.77
10/02/2019,22,63.89
10/02/2019,23,56.43
10/02/2019,24,47.78
11/02/2019,1,30.00
11/02/2019,2,24.31
11/02/2019,3,21.06
11/02/2019,4,18.72
11/02/2019,5,20.00
11/02/2019,6,30.00
11/02/2019,7,52.29
11/02/2019,8,60.58
11/02/2019,9,68.15
11/02/2019,10,66.85
11/02/2019,11,61.20
11/02/2019,12,59.40
11/02/2019,13,54.33
11/02/2019,14,55.06
11/02/2019,15,57.49
11/02/2019,16,62.19
11/02/2019,17,67.00
11/02/2019,18,72.28
11/02/2019,19,73.97
11/02/2019,20,67.00
11/02/2019,21,61.94
11/02/2019,22,59.40
11/02/2019,23,51.64
11/02/2019,24,49.47
12/02/2019,1,49.60
12/02/2019,2,48.50
12/02/2019,3,47.79
12/02/2019,4,42.10
12/02/2019,5,42.80
12/02/2019,6,49.61
12/02/2019,7,63.00
12/02/2019,8,68.08
12/02/2019,9,79.27
12/02/2019,10,69.00
12/02/2019,11,65.00
12/02/2019,12,59.35
12/02/2019,13,54.35
12/02/2019,14,54.00
12/02/2019,15,56.31
12/02/2019,16,62.06
12/02/2019,17,62.19
12/02/2019,18,71.95
12/02/2019,19,77.18
12/02/2019,20,75.00
12/02/2019,21,65.00
12/02/2019,22,60.01
12/02/2019,23,55.52
12/02/2019,24,49.40
13/02/2019,1,47.00
13/02/2019,2,44.61
13/02/2019,3,41.27
13/02/2019,4,41.16
13/02/2019,5,40.00
13/02/2019,6,46.11
13/02/2019,7,55.61
13/02/2019,8,61.20
13/02/2019,9,67.00
13/02/2019,10,62.91
13/02/2019,11,58.23
13/02/2019,12,54.42
13/02/2019,13,51.02
13/02/2019,14,49.42
13/02/2019,15,51.49
13/02/2019,16,55.00
13/02/2019,17,58.68
13/02/2019,18,67.00
13/02/2019,19,80.00
13/02/2019,20,76.00
13/02/2019,21,62.54
13/02/2019,22,58.23
13/02/2019,23,53.65
13/02/2019,24,49.04
14/02/2019,1,47.67
14/02/2019,2,47.16
14/02/2019,3,44.62
14/02/2019,4,42.00
14/02/2019,5,42.60
14/02/2019,6,47.11
14/02/2019,7,62.54
14/02/2019,8,63.05
14/02/2019,9,67.90
14/02/2019,10,67.00
14/02/2019,11,59.21
14/02/2019,12,55.42
14/02/2019,13,50.78
